Name,locus_tag,TPM,FPKM,protein_id,Raw Fragment Count,Raw Transcript Count,RPKM,gene
parB CDS,PP_0001,157.43,207.97,NP_742171.1,37.50,2.96,207.97,parB
parA CDS,PP_0002,138.82,183.39,NP_742172.1,30.00,2.61,183.39,parA
rsmG CDS,PP_0003,360.30,475.98,NP_742173.1,64.00,6.78,475.98,rsmG
trmF CDS,PP_0004,180.73,238.76,NP_742174.1,93.50,3.40,238.76,trmF
trmE CDS,PP_0005,18.71,24.72,NP_742175.1,7.00,0.35,24.72,trmE
oxaA CDS,PP_0006,265.67,350.97,NP_742176.1,122.00,5.00,350.97,oxaA
yidD CDS,PP_0007,305.41,403.47,NP_742177.1,20.50,5.75,403.47,yidD
rnpA CDS,PP_0008,778.23,1028.09,NP_742178.1,86.00,14.65,1028.09,rnpA
rpmH CDS,PP_0009,2646.89,3496.72,NP_742179.1,97.50,49.84,3496.72,rpmH
dnaA CDS,PP_0010,350.59,463.15,NP_742180.1,145.50,6.60,463.15,dnaA
dnaN CDS,PP_0011,295.45,390.31,NP_742181.1,89.00,5.56,390.31,dnaN
recF CDS,PP_0012,187.56,247.78,NP_742182.1,56.50,3.53,247.78,recF
gyrB CDS,PP_0013,382.99,505.96,NP_742183.1,253.00,7.21,505.96,gyrB
transposase CDS,PP_0014,7.48,9.89,NP_742184.2,4.00,0.14,9.89,
transposon protein CDS,PP_0015,19.09,25.22,NP_742185.1,5.00,0.36,25.22,
hypothetical protein CDS,PP_0016,30.59,40.41,NP_742186.1,16.00,0.58,40.41,
transcriptional regulator CDS,PP_0017,397.03,524.51,NP_742187.1,39.00,7.48,524.51,
hypothetical protein CDS,PP_0018,758.63,1002.21,NP_742188.1,174.50,14.29,1002.21,
hypothetical protein CDS,PP_0019,550.52,727.28,NP_742189.1,105.00,10.37,727.28,
hypothetical protein CDS,PP_0020,391.18,516.77,NP_742190.1,93.50,7.37,516.77,
hypothetical protein CDS,PP_0021,75.36,99.56,NP_742191.1,19.00,1.42,99.56,
hypothetical protein CDS,PP_0022,88.85,117.37,NP_742192.2,4.00,1.67,117.37,
hypothetical protein CDS,PP_0023,2443.28,3227.74,NP_742193.1,86.00,46.01,3227.74,
membrane-associated metal-dependent hydrolase CDS,PP_0024,6.48,8.55,NP_742194.1,3.00,0.12,8.55,
hypothetical protein CDS,PP_0025,0.00,0.00,NP_742195.1,0.00,0.00,0.00,
cobalt/cadmium/zinc exporter CDS,PP_0026,12.14,16.03,NP_742196.1,3.00,0.23,16.03,
