Name,locus_tag,TPM,FPKM,protein_id,Raw Fragment Count,Raw Transcript Count,RPKM,gene
parB CDS,PP_0001,240.63,300.22,NP_742171.1,744.00,64.34,300.22,parB
parA CDS,PP_0002,393.22,490.60,NP_742172.1,1103.00,105.14,490.60,parA
rsmG CDS,PP_0003,324.86,405.30,NP_742173.1,749.00,86.86,405.30,rsmG
trmF CDS,PP_0004,294.71,367.69,NP_742174.1,1979.00,78.80,367.69,trmF
trmE CDS,PP_0005,60.75,75.80,NP_742175.1,295.00,16.24,75.80,trmE
oxaA CDS,PP_0006,426.13,531.65,NP_742176.1,2540.00,113.94,531.65,oxaA
yidD CDS,PP_0007,678.33,846.31,NP_742177.1,591.00,181.38,846.31,yidD
rnpA CDS,PP_0008,1367.84,1706.56,NP_742178.1,1962.00,365.74,1706.56,rnpA
rpmH CDS,PP_0009,4038.67,5038.80,NP_742179.1,1931.00,1079.89,5038.80,rpmH
dnaA CDS,PP_0010,364.87,455.22,NP_742180.1,1965.50,97.56,455.22,dnaA
dnaN CDS,PP_0011,353.58,441.14,NP_742181.1,1382.50,94.54,441.14,dnaN
recF CDS,PP_0012,280.18,349.56,NP_742182.1,1095.50,74.92,349.56,recF
gyrB CDS,PP_0013,368.83,460.17,NP_742183.1,3162.50,98.62,460.17,gyrB
transposase CDS,PP_0014,5.62,7.01,NP_742184.2,39.00,1.50,7.01,
transposon protein CDS,PP_0015,9.85,12.29,NP_742185.1,33.50,2.63,12.29,
hypothetical protein CDS,PP_0016,19.15,23.89,NP_742186.1,130.00,5.12,23.89,
transcriptional regulator CDS,PP_0017,206.27,257.35,NP_742187.1,263.00,55.15,257.35,
hypothetical protein CDS,PP_0018,171.15,213.54,NP_742188.1,511.00,45.76,213.54,
hypothetical protein CDS,PP_0019,235.49,293.81,NP_742189.1,583.00,62.97,293.81,
hypothetical protein CDS,PP_0020,151.17,188.60,NP_742190.1,469.00,40.42,188.60,
hypothetical protein CDS,PP_0021,40.34,50.32,NP_742191.1,132.00,10.79,50.32,
hypothetical protein CDS,PP_0022,56.47,70.45,NP_742192.2,33.00,15.10,70.45,
hypothetical protein CDS,PP_0023,98.49,122.89,NP_742193.1,45.00,26.34,122.89,
membrane-associated metal-dependent hydrolase CDS,PP_0024,2.66,3.32,NP_742194.1,16.00,0.71,3.32,
hypothetical protein CDS,PP_0025,33.22,41.44,NP_742195.1,18.00,8.88,41.44,
cobalt/cadmium/zinc exporter CDS,PP_0026,36.00,44.91,NP_742196.1,115.50,9.62,44.91,
membrane protein CDS,PP_0027,9.28,11.58,NP_742197.1,14.50,2.48,11.58,
hypothetical protein CDS,PP_0028,6.04,7.54,NP_742198.1,7.00,1.62,7.54,
czcR-I CDS,PP_0029,29.07,36.27,NP_742199.1,69.50,7.77,36.27,czcR-I
czrSA CDS,PP_0030,22.09,27.56,NP_742200.1,111.00,5.91,27.56,czrSA
hypothetical protein CDS,PP_0031,4.08,5.09,NP_742201.1,8.50,1.09,5.09,
hypothetical protein CDS,PP_0032,1.27,1.59,NP_742202.1,1.00,0.34,1.59,
undecaprenyl-glycosyl transferase CDS,PP_0033,7.57,9.44,NP_742203.1,39.00,2.02,9.44,
bactoprenol glycosyl-transferase CDS,PP_0034,3.59,4.48,NP_742204.1,12.50,0.96,4.48,
bactoprenol-linked glycose transferase CDS,PP_0035,3.70,4.61,NP_742205.1,5.50,0.99,4.61,
transcriptional regulator CDS,PP_0036,2.33,2.91,NP_742206.1,8.00,0.62,2.91,
oprP CDS,PP_0037,7.44,9.28,NP_742207.1,34.00,1.99,9.28,oprP
hypothetical protein CDS,PP_0039,19.81,24.72,NP_742209.1,72.00,5.30,24.72,
hypothetical protein CDS,PP_0040,80.31,100.20,NP_742210.1,64.00,21.47,100.20,
cadA-I CDS,PP_0041,7.63,9.52,NP_742211.1,54.00,2.04,9.52,cadA-I
hypothetical protein CDS,PP_0042,0.87,1.09,NP_742212.2,1.00,0.23,1.09,
czcA-I CDS,PP_0043,5.85,7.30,NP_742213.1,65.50,1.56,7.30,czcA-I
czcB-I CDS,PP_0044,11.40,14.22,NP_742214.1,50.50,3.05,14.22,czcB-I
czcC-I CDS,PP_0045,4.66,5.82,NP_742215.1,21.00,1.25,5.82,czcC-I
opdT-I CDS,PP_0046,5.88,7.34,NP_742216.1,28.00,1.57,7.34,opdT-I
czcR-II CDS,PP_0047,2.51,3.13,NP_742217.1,6.00,0.67,3.13,czcR-II
hypothetical protein CDS,PP_0048,4.36,5.44,NP_742218.1,5.00,1.17,5.44,
hypothetical protein CDS,PP_0049,27.62,34.46,NP_742219.1,143.50,7.39,34.46,
hypothetical protein CDS,PP_0050,26.30,32.81,NP_742220.1,38.00,7.03,32.81,
sigma-54 dependent transcriptional regulator CDS,PP_0051,55.03,68.66,NP_742221.1,252.00,14.71,68.66,
beta-lactamase domain-containing protein CDS,PP_0052,86.14,107.47,NP_742222.1,270.00,23.03,107.47,
sulfide:quinone oxidoreductase CDS,PP_0053,55.51,69.26,NP_742223.1,249.50,14.84,69.26,
membrane protein CDS,PP_0054,43.93,54.81,NP_742224.1,133.50,11.75,54.81,
transcriptional regulator CDS,PP_0055,50.24,62.68,NP_742225.1,158.00,13.43,62.68,
betA-I CDS,PP_0056,24.60,30.69,NP_742226.1,144.00,6.58,30.69,betA-I
major facilitator family transporter CDS,PP_0057,10.98,13.70,NP_742227.1,63.00,2.94,13.70,
1-acyl-sn-glycerol-3-phosphate acyltransferase CDS,PP_0058,60.71,75.74,NP_742228.1,169.00,16.23,75.74,
gmhB CDS,PP_0059,107.75,134.44,NP_742229.1,201.50,28.81,134.44,gmhB
glyS CDS,PP_0060,222.79,277.96,NP_742230.1,1621.50,59.57,277.96,glyS
glyQ CDS,PP_0061,369.02,460.41,NP_742231.1,1239.00,98.67,460.41,glyQ
tag CDS,PP_0062,146.29,182.52,NP_742232.1,286.00,39.12,182.52,tag
lipid A biosynthesis lauroyl acyltransferase CDS,PP_0063,122.42,152.73,NP_742233.1,385.00,32.73,152.73,
hypothetical protein CDS,PP_0064,61.40,76.61,NP_742234.1,68.50,16.42,76.61,
trkA CDS,PP_0065,72.95,91.02,NP_742235.1,355.00,19.51,91.02,trkA
rsmB CDS,PP_0066,63.86,79.67,NP_742236.1,296.50,17.07,79.67,rsmB
fmt CDS,PP_0067,82.47,102.89,NP_742237.1,272.50,22.05,102.89,fmt
def-I CDS,PP_0068,310.48,387.36,NP_742238.1,557.50,83.02,387.36,def-I
rossmann fold nucleotide-binding protein CDS,PP_0069,9.77,12.19,NP_742239.1,38.00,2.61,12.19,
tsaC CDS,PP_0070,102.21,127.53,NP_742240.1,202.00,27.33,127.53,tsaC
hypothetical protein CDS,PP_0071,48.33,60.30,NP_742241.2,57.00,12.92,60.30,
qor-I CDS,PP_0072,326.23,407.02,NP_742242.1,1130.00,87.23,407.02,qor-I
hemF CDS,PP_0073,100.15,124.96,NP_742243.1,323.50,26.78,124.96,hemF
aroE CDS,PP_0074,59.38,74.08,NP_742244.1,173.50,15.88,74.08,aroE
choline sulfate transporter CDS,PP_0075,21.10,26.32,NP_742245.1,117.00,5.64,26.32,
choline betaine-binding protein CDS,PP_0076,33.92,42.32,NP_742246.2,111.00,9.07,42.32,
betC CDS,PP_0077,10.97,13.69,NP_742247.1,59.00,2.93,13.69,betC
transcriptional regulator CDS,PP_0079,21.02,26.22,NP_742249.1,67.00,5.62,26.22,
hypothetical protein CDS,PP_0080,34.49,43.04,NP_742250.1,75.50,9.22,43.04,
hypothetical protein CDS,PP_0081,58.82,73.39,NP_742251.1,77.50,15.73,73.39,
