Name,locus_tag,TPM,FPKM,protein_id,Raw Fragment Count,Raw Transcript Count,RPKM,gene
parB CDS,PP_0001,45.80,53.55,NP_742171.1,109.50,9.48,53.55,parB
parA CDS,PP_0002,84.38,98.65,NP_742172.1,183.00,17.46,98.65,parA
rsmG CDS,PP_0003,42.63,49.84,NP_742173.1,76.00,8.82,49.84,rsmG
trmF CDS,PP_0004,51.52,60.24,NP_742174.1,267.50,10.66,60.24,trmF
trmE CDS,PP_0005,131.58,153.84,NP_742175.1,494.00,27.23,153.84,trmE
oxaA CDS,PP_0006,13.24,15.48,NP_742176.1,61.00,2.74,15.48,oxaA
yidD CDS,PP_0007,31.91,37.32,NP_742177.1,21.50,6.61,37.32,yidD
rnpA CDS,PP_0008,38.77,45.33,NP_742178.1,43.00,8.02,45.33,rnpA
rpmH CDS,PP_0009,41.93,49.02,NP_742179.1,15.50,8.68,49.02,rpmH
dnaA CDS,PP_0010,47.42,55.44,NP_742180.1,197.50,9.81,55.44,dnaA
dnaN CDS,PP_0011,51.10,59.75,NP_742181.1,154.50,10.58,59.75,dnaN
recF CDS,PP_0012,55.57,64.97,NP_742182.1,168.00,11.50,64.97,recF
gyrB CDS,PP_0013,27.75,32.45,NP_742183.1,184.00,5.74,32.45,gyrB
transposase CDS,PP_0014,7.46,8.72,NP_742184.2,40.00,1.54,8.72,
transposon protein CDS,PP_0015,9.51,11.12,NP_742185.1,25.00,1.97,11.12,
hypothetical protein CDS,PP_0016,31.62,36.97,NP_742186.1,166.00,6.54,36.97,
transcriptional regulator CDS,PP_0017,100.42,117.41,NP_742187.1,99.00,20.78,117.41,
hypothetical protein CDS,PP_0018,252.32,295.02,NP_742188.1,582.50,52.23,295.02,
hypothetical protein CDS,PP_0019,1052.92,1231.10,NP_742189.1,2015.50,217.93,1231.10,
hypothetical protein CDS,PP_0020,544.00,636.06,NP_742190.1,1305.00,112.60,636.06,
hypothetical protein CDS,PP_0021,20.95,24.49,NP_742191.1,53.00,4.34,24.49,
hypothetical protein CDS,PP_0022,194.75,227.71,NP_742192.2,88.00,40.31,227.71,
hypothetical protein CDS,PP_0023,274.58,321.05,NP_742193.1,97.00,56.83,321.05,
membrane-associated metal-dependent hydrolase CDS,PP_0024,3.01,3.52,NP_742194.1,14.00,0.62,3.52,
hypothetical protein CDS,PP_0025,4.77,5.58,NP_742195.1,2.00,0.99,5.58,
cobalt/cadmium/zinc exporter CDS,PP_0026,94.31,110.27,NP_742196.1,234.00,19.52,110.27,
membrane protein CDS,PP_0027,63.76,74.55,NP_742197.1,77.00,13.20,74.55,
hypothetical protein CDS,PP_0028,5.58,6.53,NP_742198.1,5.00,1.16,6.53,
czcR-I CDS,PP_0029,134.71,157.50,NP_742199.1,249.00,27.88,157.50,czcR-I
czrSA CDS,PP_0030,58.54,68.45,NP_742200.1,227.50,12.12,68.45,czrSA
hypothetical protein CDS,PP_0031,10.25,11.98,NP_742201.1,16.50,2.12,11.98,
hypothetical protein CDS,PP_0032,8.22,9.62,NP_742202.1,5.00,1.70,9.62,
undecaprenyl-glycosyl transferase CDS,PP_0033,5.02,5.87,NP_742203.1,20.00,1.04,5.87,
bactoprenol glycosyl-transferase CDS,PP_0034,1.86,2.17,NP_742204.1,5.00,0.38,2.17,
bactoprenol-linked glycose transferase CDS,PP_0035,0.87,1.02,NP_742205.1,1.00,0.18,1.02,
transcriptional regulator CDS,PP_0036,1.51,1.76,NP_742206.1,4.00,0.31,1.76,
oprP CDS,PP_0037,5.38,6.29,NP_742207.1,19.00,1.11,6.29,oprP
hypothetical protein CDS,PP_0039,27.41,32.04,NP_742209.1,77.00,5.67,32.04,
hypothetical protein CDS,PP_0040,40.57,47.44,NP_742210.1,25.00,8.40,47.44,
cadA-I CDS,PP_0041,11.70,13.68,NP_742211.1,64.00,2.42,13.68,cadA-I
hypothetical protein CDS,PP_0042,6.76,7.91,NP_742212.2,6.00,1.40,7.91,
czcA-I CDS,PP_0043,4.04,4.73,NP_742213.1,35.00,0.84,4.73,czcA-I
czcB-I CDS,PP_0044,16.35,19.11,NP_742214.1,56.00,3.38,19.11,czcB-I
czcC-I CDS,PP_0045,12.06,14.10,NP_742215.1,42.00,2.50,14.10,czcC-I
opdT-I CDS,PP_0046,3.80,4.45,NP_742216.1,14.00,0.79,4.45,opdT-I
czcR-II CDS,PP_0047,3.25,3.80,NP_742217.1,6.00,0.67,3.80,czcR-II
hypothetical protein CDS,PP_0048,3.38,3.95,NP_742218.1,3.00,0.70,3.95,
hypothetical protein CDS,PP_0049,101.81,119.04,NP_742219.1,409.00,21.07,119.04,
hypothetical protein CDS,PP_0050,29.54,34.53,NP_742220.1,33.00,6.11,34.53,
sigma-54 dependent transcriptional regulator CDS,PP_0051,15.53,18.16,NP_742221.1,55.00,3.21,18.16,
beta-lactamase domain-containing protein CDS,PP_0052,269.64,315.28,NP_742222.1,653.50,55.81,315.28,
sulfide:quinone oxidoreductase CDS,PP_0053,131.07,153.26,NP_742223.1,455.50,27.13,153.26,
membrane protein CDS,PP_0054,109.80,128.39,NP_742224.1,258.00,22.73,128.39,
transcriptional regulator CDS,PP_0055,36.19,42.31,NP_742225.1,88.00,7.49,42.31,
betA-I CDS,PP_0056,1745.85,2041.31,NP_742226.1,7903.00,361.36,2041.31,betA-I
major facilitator family transporter CDS,PP_0057,2280.03,2665.87,NP_742227.1,10115.00,471.92,2665.87,
1-acyl-sn-glycerol-3-phosphate acyltransferase CDS,PP_0058,19.28,22.54,NP_742228.1,41.50,3.99,22.54,
gmhB CDS,PP_0059,11.41,13.34,NP_742229.1,16.50,2.36,13.34,gmhB
glyS CDS,PP_0060,19.72,23.06,NP_742230.1,111.00,4.08,23.06,glyS
glyQ CDS,PP_0061,31.59,36.93,NP_742231.1,82.00,6.54,36.93,glyQ
tag CDS,PP_0062,29.77,34.81,NP_742232.1,45.00,6.16,34.81,tag
lipid A biosynthesis lauroyl acyltransferase CDS,PP_0063,18.50,21.64,NP_742233.1,45.00,3.83,21.64,
hypothetical protein CDS,PP_0064,44.05,51.51,NP_742234.1,38.00,9.12,51.51,
trkA CDS,PP_0065,25.65,29.99,NP_742235.1,96.50,5.31,29.99,trkA
rsmB CDS,PP_0066,6.55,7.65,NP_742236.1,23.50,1.35,7.65,rsmB
fmt CDS,PP_0067,9.59,11.21,NP_742237.1,24.50,1.98,11.21,fmt
def-I CDS,PP_0068,68.06,79.58,NP_742238.1,94.50,14.09,79.58,def-I
rossmann fold nucleotide-binding protein CDS,PP_0069,39.24,45.88,NP_742239.1,118.00,8.12,45.88,
tsaC CDS,PP_0070,77.88,91.05,NP_742240.1,119.00,16.12,91.05,tsaC
hypothetical protein CDS,PP_0071,46.06,53.85,NP_742241.2,42.00,9.53,53.85,
qor-I CDS,PP_0072,126.20,147.56,NP_742242.1,338.00,26.12,147.56,qor-I
hemF CDS,PP_0073,26.23,30.66,NP_742243.1,65.50,5.43,30.66,hemF
aroE CDS,PP_0074,29.88,34.93,NP_742244.1,67.50,6.18,34.93,aroE
choline sulfate transporter CDS,PP_0075,15.39,17.99,NP_742245.1,66.00,3.19,17.99,
choline betaine-binding protein CDS,PP_0076,120.14,140.47,NP_742246.2,304.00,24.87,140.47,
betC CDS,PP_0077,6.01,7.03,NP_742247.1,25.00,1.24,7.03,betC
transcriptional regulator CDS,PP_0079,16.64,19.45,NP_742249.1,41.00,3.44,19.45,
hypothetical protein CDS,PP_0080,46.38,54.23,NP_742250.1,78.50,9.60,54.23,
hypothetical protein CDS,PP_0081,79.02,92.39,NP_742251.1,80.50,16.36,92.39,
trpA CDS,PP_0082,35.84,41.91,NP_742252.1,79.50,7.42,41.91,trpA
trpB CDS,PP_0083,45.72,53.46,NP_742253.1,152.50,9.46,53.46,trpB
trpI CDS,PP_0084,41.52,48.55,NP_742254.1,102.00,8.59,48.55,trpI
hypothetical protein CDS,PP_0085,42.94,50.21,NP_742255.1,57.50,8.89,50.21,
hypothetical protein CDS,PP_0086,717.65,839.10,NP_742256.1,424.50,148.54,839.10,
hypothetical protein CDS,PP_0087,243.44,284.64,NP_742257.1,176.00,50.39,284.64,
alkanal monooxygenase CDS,PP_0088,48.69,56.93,NP_742258.1,134.00,10.08,56.93,
osmC CDS,PP_0089,10.29,12.03,NP_742259.1,12.00,2.13,12.03,osmC
hypothetical protein CDS,PP_0090,538.53,629.66,NP_742260.1,438.00,111.46,629.66,
putative lipoprotein CDS,PP_0091,742.68,868.36,NP_742261.1,842.00,153.72,868.36,
putative lipoprotein CDS,PP_0092,36.16,42.28,NP_742262.1,41.00,7.49,42.28,
zinc protease CDS,PP_0093,13.22,15.46,NP_742263.2,39.00,2.74,15.46,
5'-nucleotidase CDS,PP_0094,71.24,83.29,NP_742264.1,127.00,14.74,83.29,
hypothetical protein CDS,PP_0095,25.28,29.55,NP_742265.1,38.00,5.23,29.55,
prlC CDS,PP_0096,96.36,112.67,NP_742266.1,541.50,19.95,112.67,prlC
hypothetical protein CDS,PP_0097,108.13,126.42,NP_742267.1,83.50,22.38,126.42,
hypothetical protein CDS,PP_0098,33.58,39.26,NP_742268.1,16.00,6.95,39.26,
hypothetical protein CDS,PP_0099,16.55,19.35,NP_742269.1,48.00,3.43,19.35,
cynT CDS,PP_0100,220.62,257.96,NP_742270.1,435.00,45.66,257.96,cynT
sulfate transporter CDS,PP_0101,8.42,9.84,NP_742271.1,35.00,1.74,9.84,
cytochrome c oxidase subunit 2 CDS,PP_0103,987.85,1155.03,NP_742273.1,3051.50,204.47,1155.03,
ctaD CDS,PP_0104,816.57,954.76,NP_742274.1,3555.50,169.01,954.76,ctaD
cytochrome c oxidase assembly protein CDS,PP_0105,779.28,911.15,NP_742275.1,1210.00,161.29,911.15,
cytochrome c oxidase subunit 3 CDS,PP_0106,1366.08,1597.26,NP_742276.1,3322.00,282.75,1597.26,
hypothetical protein CDS,PP_0107,470.31,549.90,NP_742277.2,950.50,97.34,549.90,
hypothetical protein CDS,PP_0108,581.00,679.32,NP_742278.1,926.00,120.26,679.32,
membrane protein CDS,PP_0109,727.46,850.56,NP_742279.1,2151.50,150.57,850.56,
CyoE-like protoheme IX farnesyltransferase CDS,PP_0110,543.05,634.95,NP_742280.1,1329.50,112.40,634.95,
electron transport protein SCO1/SenC CDS,PP_0111,284.11,332.19,NP_742281.1,492.50,58.81,332.19,
metQ CDS,PP_0112,115.33,134.84,NP_742282.1,243.50,23.87,134.84,metQ
metI CDS,PP_0113,26.90,31.45,NP_742283.1,49.50,5.57,31.45,metI
metN CDS,PP_0114,18.11,21.18,NP_742284.1,50.00,3.75,21.18,metN
katE CDS,PP_0115,15.39,17.99,NP_742285.1,90.00,3.18,17.99,katE
putative lipoprotein CDS,PP_0116,185.16,216.50,NP_742286.1,359.00,38.32,216.50,
znuB CDS,PP_0117,30.78,35.99,NP_742287.1,66.00,6.37,35.99,znuB
znuC CDS,PP_0118,59.45,69.51,NP_742288.1,126.00,12.30,69.51,znuC
zinc uptake regulation protein Zur CDS,PP_0119,68.37,79.95,NP_742289.2,91.00,14.15,79.95,
zinc ABC transporter CDS,PP_0120,69.70,81.49,NP_742290.1,173.50,14.43,81.49,
thrB CDS,PP_0121,100.03,116.95,NP_742291.1,260.50,20.70,116.95,thrB
hypothetical protein CDS,PP_0122,235.84,275.75,NP_742292.1,186.00,48.81,275.75,
polA CDS,PP_0123,26.98,31.54,NP_742293.1,203.00,5.58,31.54,polA
engB CDS,PP_0124,768.40,898.44,NP_742294.1,1332.00,159.04,898.44,engB
cytochrome c-type protein CDS,PP_0125,987.03,1154.06,NP_742295.1,819.00,204.29,1154.06,
cc CDS,PP_0126,509.34,595.54,NP_742296.1,862.00,105.42,595.54,cc
dsbA CDS,PP_0127,217.77,254.63,NP_742297.1,377.50,45.07,254.63,dsbA
hypothetical protein CDS,PP_0128,67.48,78.90,NP_742298.1,158.00,13.97,78.90,
GGDEF domain-containing protein CDS,PP_0129,21.95,25.67,NP_742299.1,116.50,4.54,25.67,
amiD CDS,PP_0130,61.09,71.43,NP_742300.1,132.00,12.64,71.43,amiD
membrane-anchored phosphodiesterase CDS,PP_0131,60.41,70.63,NP_742301.1,266.00,12.50,70.63,
kinB CDS,PP_0132,46.72,54.63,NP_742302.1,228.00,9.67,54.63,kinB
algB CDS,PP_0133,85.67,100.16,NP_742303.1,316.00,17.73,100.16,algB
hypothetical protein CDS,PP_0134,11.55,13.50,NP_742304.1,26.00,2.39,13.50,
hypothetical protein CDS,PP_0135,28.18,32.94,NP_742305.1,12.50,5.83,32.94,
hypothetical protein CDS,PP_0136,52.33,61.19,NP_742306.1,67.50,10.83,61.19,
gltP CDS,PP_0137,5.22,6.10,NP_742307.1,19.00,1.08,6.10,gltP
membrane protein CDS,PP_0138,25.53,29.85,NP_742308.1,86.00,5.28,29.85,
lipoprotein CDS,PP_0139,51.67,60.42,NP_742309.1,90.00,10.70,60.42,
hypothetical protein CDS,PP_0140,32.08,37.51,NP_742310.1,82.50,6.64,37.51,
ABC transporter ATP-binding protein CDS,PP_0141,42.42,49.60,NP_742311.1,92.00,8.78,49.60,
ABC transporter permease CDS,PP_0142,37.84,44.24,NP_742312.1,117.50,7.83,44.24,
membrane protein CDS,PP_0143,23.13,27.05,NP_742313.1,65.00,4.79,27.05,
insulinase family metalloprotease CDS,PP_0144,38.80,45.37,NP_742314.1,149.50,8.03,45.37,
yjbB CDS,PP_0145,78.91,92.26,NP_742315.1,358.50,16.33,92.26,yjbB
ygdQ CDS,PP_0146,39.12,45.75,NP_742316.1,85.50,8.10,45.75,ygdQ
citN CDS,PP_0147,23.31,27.26,NP_742317.1,83.50,4.82,27.26,citN
hypothetical protein CDS,PP_0148,191.15,223.50,NP_742318.1,212.00,39.56,223.50,
hypothetical protein CDS,PP_0149,12.69,14.84,NP_742319.1,68.00,2.63,14.84,
hypothetical protein CDS,PP_0150,38.68,45.22,NP_742320.1,34.00,8.01,45.22,
hypothetical protein CDS,PP_0151,67.07,78.42,NP_742321.1,54.00,13.88,78.42,
hypothetical protein CDS,PP_0152,626.82,732.89,NP_742322.1,654.00,129.74,732.89,
hypothetical protein CDS,PP_0153,20.29,23.72,NP_742323.1,12.00,4.20,23.72,
scpC CDS,PP_0154,19.31,22.58,NP_742324.1,79.00,4.00,22.58,scpC
pntB CDS,PP_0155,207.74,242.90,NP_742325.1,817.50,43.00,242.90,pntB
pntAA CDS,PP_0156,551.82,645.20,YP_009236895.1,1695.50,114.21,645.20,pntAA
gcdR CDS,PP_0157,19.09,22.32,NP_742326.1,48.00,3.95,22.32,gcdR
gcdH CDS,PP_0158,179.49,209.87,NP_742327.1,581.00,37.15,209.87,gcdH
family III CoA-transferase CDS,PP_0159,246.13,287.79,NP_742328.1,823.00,50.94,287.79,
ferrioxamine receptor CDS,PP_0160,19.68,23.00,NP_742329.1,134.00,4.07,23.00,
putative transmembrane sensor CDS,PP_0161,134.12,156.82,NP_742330.1,351.50,27.76,156.82,
ECF family RNA polymerase sigma-70 factor CDS,PP_0162,251.49,294.05,NP_742331.1,359.50,52.05,294.05,
transcriptional regulator CDS,PP_0163,28.58,33.41,NP_742332.1,54.00,5.92,33.41,
hypothetical protein CDS,PP_0164,32.67,38.20,NP_742333.2,62.00,6.76,38.20,
GGDEF domain-containing protein CDS,PP_0165,62.45,73.02,NP_742334.1,333.00,12.93,73.02,
HlyD family secretion protein CDS,PP_0166,138.69,162.16,NP_742335.1,523.00,28.71,162.16,
paxB CDS,PP_0167,143.14,167.36,NP_742336.1,845.50,29.63,167.36,paxB
putative surface adhesion protein CDS,PP_0168,421.39,492.70,NP_742337.1,30060.00,87.22,492.70,
TauD/TfdA family dioxygenase CDS,PP_0169,30.43,35.58,NP_742338.1,75.00,6.30,35.58,
ABC transporter substrate-binding protein CDS,PP_0170,5.19,6.07,NP_742339.1,14.50,1.07,6.07,
ABC transporter ATP-binding protein CDS,PP_0171,14.16,16.55,NP_742340.1,33.50,2.93,16.55,
ABC transporter permease CDS,PP_0172,25.78,30.14,NP_742341.1,61.00,5.34,30.14,
transcriptional factor-like protein CDS,PP_0173,80.57,94.20,NP_742342.1,139.00,16.68,94.20,
hypothetical protein CDS,PP_0174,86.94,101.66,NP_742343.1,195.00,18.00,101.66,
transcriptional regulator CDS,PP_0175,7.66,8.95,NP_742344.1,9.50,1.59,8.95,
putative efflux transporter CDS,PP_0176,9.71,11.35,NP_742345.1,55.50,2.01,11.35,
hypothetical protein CDS,PP_0177,8.57,10.02,NP_742346.1,5.00,1.77,10.02,
efflux pump CDS,PP_0178,2.08,2.44,NP_742347.1,5.00,0.43,2.44,
putative efflux transporter CDS,PP_0179,5.40,6.32,NP_742348.1,21.00,1.12,6.32,
cytochrome c family protein CDS,PP_0180,66.40,77.64,NP_742349.1,347.50,13.74,77.64,
hypothetical protein CDS,PP_0181,2512.36,2937.53,NP_742350.1,1692.50,520.01,2937.53,
hypothetical protein CDS,PP_0182,87.98,102.87,NP_742351.1,73.00,18.21,102.87,
glutathione S-transferase CDS,PP_0183,46.27,54.09,NP_742352.1,84.00,9.58,54.09,
argH CDS,PP_0184,53.98,63.12,NP_742353.1,208.00,11.17,63.12,argH
algR CDS,PP_0185,1704.10,1992.49,NP_742354.1,3472.00,352.71,1992.49,algR
hemC CDS,PP_0186,268.25,313.65,NP_742355.1,692.00,55.52,313.65,hemC
hemD CDS,PP_0187,81.31,95.07,NP_742356.1,171.00,16.83,95.07,hemD
uroporphyrin-III C-methyltransferase CDS,PP_0188,201.68,235.81,NP_742357.1,623.00,41.74,235.81,
heme biosynthesis protein CDS,PP_0189,142.94,167.13,NP_742358.1,485.00,29.59,167.13,
disulfide bond formation protein B CDS,PP_0190,23.77,27.79,NP_742359.1,33.00,4.92,27.79,
algQ CDS,PP_0191,753.59,881.12,NP_742360.1,972.00,155.98,881.12,algQ
fkl CDS,PP_0192,296.32,346.46,NP_742361.1,538.00,61.33,346.46,fkl
algP CDS,PP_0194,1858.28,2172.76,NP_742363.1,5038.00,384.63,2172.76,algP
hypothetical protein CDS,PP_0195,497.54,581.74,NP_742364.1,654.00,102.98,581.74,
yheS CDS,PP_0196,11.27,13.18,NP_742365.1,59.00,2.33,13.18,yheS
hypothetical protein CDS,PP_0197,13.66,15.97,NP_742366.1,22.00,2.83,15.97,
putative transporter CDS,PP_0198,184.31,215.50,NP_742367.1,319.50,38.15,215.50,
qmcA CDS,PP_0199,49.37,57.73,NP_742368.1,101.00,10.22,57.73,qmcA
nfeD CDS,PP_0200,50.83,59.43,NP_742369.1,187.50,10.52,59.43,nfeD
hypothetical protein CDS,PP_0201,534.39,624.82,NP_742370.1,720.00,110.61,624.82,
CBS domain-containing protein CDS,PP_0202,1237.64,1447.09,NP_742371.1,1484.50,256.17,1447.09,
dipeptidase CDS,PP_0203,51.90,60.68,NP_742372.1,246.00,10.74,60.68,
GntR family transcriptional regulator CDS,PP_0204,7.79,9.11,NP_742373.1,16.00,1.61,9.11,
oxidoreductase CDS,PP_0205,2.54,2.97,NP_742374.1,12.00,0.53,2.97,
4Fe-4S ferredoxin CDS,PP_0206,4.45,5.21,NP_742375.1,3.00,0.92,5.21,
nitrate ABC transporter substrate-binding protein CDS,PP_0207,3.63,4.25,NP_742376.1,14.00,0.75,4.25,
nitrate ABC transporter permease CDS,PP_0208,3.96,4.63,NP_742377.1,8.50,0.82,4.63,
tauB-I CDS,PP_0209,4.93,5.76,NP_742378.1,11.50,1.02,5.76,tauB-I
phycobiliprotein CDS,PP_0210,3.21,3.76,NP_742379.1,8.50,0.67,3.76,
hypothetical protein CDS,PP_0211,14.89,17.41,NP_742380.1,11.50,3.08,17.41,
gabD-I CDS,PP_0213,188.78,220.73,NP_742381.1,746.00,39.07,220.73,gabD-I
gabT CDS,PP_0214,171.44,200.45,NP_742382.1,600.00,35.48,200.45,gabT
two-component system response regulator CDS,PP_0215,676.13,790.56,NP_742383.1,2333.00,139.95,790.56,
sensory box/GGDEF family protein CDS,PP_0216,150.11,175.51,NP_742384.2,423.00,31.07,175.51,
desA CDS,PP_0217,46.84,54.77,NP_742385.1,152.00,9.69,54.77,desA
sensory box protein CDS,PP_0218,11.17,13.06,NP_742386.1,58.00,2.31,13.06,
metP CDS,PP_0219,9.62,11.25,NP_742387.1,17.00,1.99,11.25,metP
metNB CDS,PP_0220,1.97,2.31,NP_742388.1,6.00,0.41,2.31,metNB
methionine ABC transporter substrate-binding protein CDS,PP_0221,7.07,8.26,NP_742389.1,15.50,1.46,8.26,
DszA family monooxygenase CDS,PP_0222,4.48,5.24,NP_742390.1,17.00,0.93,5.24,
DszC family monooxygenase CDS,PP_0223,4.93,5.77,NP_742391.1,16.50,1.02,5.77,
DszC family monooxygenase CDS,PP_0224,6.47,7.56,NP_742392.1,22.00,1.34,7.56,
sctC CDS,PP_0225,129.66,151.60,NP_742393.1,269.50,26.84,151.60,sctC
sctS CDS,PP_0226,186.40,217.95,NP_742394.1,341.50,38.58,217.95,sctS
fliY CDS,PP_0227,433.60,506.98,NP_742395.1,944.00,89.75,506.98,fliY
serine acetyltransferase CDS,PP_0228,52.05,60.86,NP_742396.2,133.00,10.77,60.86,
betT-II CDS,PP_0229,6.56,7.67,NP_742397.2,36.00,1.36,7.67,betT-II
atsK CDS,PP_0230,2.19,2.56,NP_742398.1,5.00,0.45,2.56,atsK
tauC CDS,PP_0231,6.09,7.12,NP_742399.1,14.00,1.26,7.12,tauC
tauB-II CDS,PP_0232,9.49,11.09,NP_742400.1,20.50,1.96,11.09,tauB-II
tauA CDS,PP_0233,9.20,10.76,NP_742401.1,24.50,1.91,10.76,tauA
oprE CDS,PP_0234,43.77,51.17,NP_742402.1,160.00,9.06,51.17,oprE
peroxidase CDS,PP_0235,101.15,118.27,NP_742403.1,177.00,20.94,118.27,
ssuE CDS,PP_0236,10.45,12.22,NP_742404.1,17.00,2.16,12.22,ssuE
ssuA CDS,PP_0237,11.72,13.70,NP_742405.1,31.00,2.43,13.70,ssuA
ssuD CDS,PP_0238,3.34,3.90,NP_742406.1,10.50,0.69,3.90,ssuD
ssuC CDS,PP_0239,3.43,4.01,NP_742407.1,7.50,0.71,4.01,ssuC
ssuB CDS,PP_0240,9.43,11.03,NP_742408.1,21.00,1.95,11.03,ssuB
transporter CDS,PP_0241,18.60,21.74,NP_742409.1,11.00,3.85,21.74,
TetR family transcriptional regulator CDS,PP_0242,24.81,29.00,NP_742410.1,43.00,5.13,29.00,
gshA CDS,PP_0243,73.36,85.77,NP_742411.1,317.00,15.18,85.77,gshA
hypothetical protein CDS,PP_0244,3.33,3.89,NP_742412.1,3.50,0.69,3.89,
yhgF CDS,PP_0245,4.80,5.61,NP_742413.1,34.00,0.99,5.61,yhgF
ompR CDS,PP_0246,147.35,172.28,NP_742414.1,299.00,30.50,172.28,ompR
envZ CDS,PP_0247,92.68,108.37,NP_742415.1,333.50,19.18,108.37,envZ
rimK CDS,PP_0248,126.96,148.45,NP_742416.1,315.00,26.28,148.45,rimK
hypothetical protein CDS,PP_0249,161.71,189.07,NP_742417.1,275.00,33.47,189.07,
hslR CDS,PP_0250,59.95,70.10,NP_742418.1,66.00,12.41,70.10,hslR
membrane protein CDS,PP_0251,67.52,78.95,NP_742419.1,147.00,13.98,78.95,
hslO CDS,PP_0252,100.62,117.65,NP_742420.1,248.00,20.83,117.65,hslO
